Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
CG14567,803.7656907548362,6.50408952114491,0.2884463304466733,22.548699132601232,1.3829075357987635e-112,3.4246464053190913e-110,1622.4231194149875,1469.9099570121853,1548.5195245733726,841.6124782476517,855.3291293138554,867.8705180183367,9.198659634556908,9.972813891992704,9.055016686587303
CG4927,465.6475062795238,4.378474656478676,0.19436052918789518,22.527591763479148,2.2274156545955613e-112,5.378095098020983e-110,647.5068733969679,805.8442530286661,842.430092108635,596.5489840015257,591.7132779288756,619.6347262859192,31.045476266629564,26.9265975083803,29.17727599011464
rdog,1923.755350950559,2.006733500588984,0.09054045124795763,22.163944103760485,7.654413667576997e-109,1.8030811512550887e-106,2312.1763634727363,2038.0666425239874,2219.1382163177464,2852.8905585146613,2853.3097007820297,2896.720738908288,742.7917654904703,771.8957952402352,626.8083773048766
CG6231,444.6633415024133,2.783344545581911,0.12596138928495554,22.09680729453772,3.3922098528090142e-108,7.800467323435586e-106,545.953097770091,531.669558919301,457.7942474221924,698.0892365975301,736.7968220364364,718.9290429788862,103.4849208887652,115.68464114711536,93.56850576140212
pon,205.45318249443264,-3.5786093619512447,0.16244195967489727,-22.03007996895189,1.483112793476687e-107,3.3311403161390333e-105,45.49609148084091,53.16695589193011,48.772268490499926,43.93568621942497,48.361181369186944,39.144874850112,508.22594480926915,508.6135084916279,553.3621308470018
CG11638,909.8874805961681,1.9916171437778407,0.09052825489246161,21.99995069101553,2.882916980830589e-107,6.328002772923143e-105,1039.0982322142058,963.2601420420278,905.6123490167827,1426.4452792573306,1340.8374599221636,1452.1793816346426,364.49688801931745,361.01586289013585,336.04173036890654
betaNACtes6,192.40241120706918,-5.010775331558429,0.22980802788267377,-21.804178808394944,2.117725365110637e-105,4.545109239164118e-103,33.309638405615665,36.487126592501056,34.362280072852215,15.621577322462212,16.120393789728983,17.18555481224429,549.6199131647752,492.65700626443953,536.2582104390035
CG13893,716.2965245932639,2.1925038055643125,0.10133158614902249,21.63692377557304,8.071158631894891e-104,1.69459239275741e-101,939.9817472023738,939.2828874240986,936.6492471471008,991.9701599763505,925.5002552220875,1062.640139223772,197.77118214297352,213.41821728864386,239.45488571197532
Prx2540-1,625.1027373063581,-2.042744871542082,0.09492054768756901,-21.52057611662521,9.991331431295073e-103,2.05311231837123e-100,244.54149170951987,246.02748216657855,254.94594892761324,333.91121526762976,313.8735496706055,305.5209744398985,1295.8611760182043,1220.672420379907,1410.5703771772664
AttB,835.0250357417048,8.18654017995586,0.3809954282667349,21.487239931457825,2.0493745152924984e-102,4.1235123059781146e-100,1038.2858020091908,938.2403980928843,948.8423142697258,1479.1681027206407,1591.1776928920724,1503.7360460713755,5.749162271598067,3.9891255567970814,6.036677791058201
CG7888,577.725144092753,2.8311841049926074,0.13547973815093187,20.897472519754302,5.645612392146256e-97,1.1127617241499703e-94,746.6233584087998,767.2721477737365,771.4886106679079,864.068495648691,807.9162064028878,882.191813695207,136.830062064034,138.62211309869858,84.51348907481481
CecA2,679.0783306153946,8.210175511625042,0.393488842867954,20.865078287315487,1.1121229870863483e-96,2.1481767618559905e-94,578.4503059706915,609.8562587603748,563.0980089357719,1390.3203816991368,1485.9210040297244,1468.4101834017622,12.648156997515748,1.9945627783985407,1.006112965176367
betaNACtes3,169.47227849786557,-4.83204284740524,0.23359333643278782,-20.68570499996078,4.659137861680057e-95,8.823128131001175e-93,33.309638405615665,21.892275955500633,27.711516187784046,10.73983440919277,20.86168608082574,17.18555481224429,467.98180890808266,460.7440018100629,464.8241899114815
DptB,419.25426150293777,7.050168304676446,0.34198377448638495,20.61550526853176,1.9923122746059587e-94,3.7003369131046824e-92,360.7190110266672,297.10945939608,323.67050907331765,941.2000336783483,1002.3091903378549,827.7708901231,3.4494973629588404,4.986406945996352,12.073355582116402
CAH7,1789.382820285268,1.8522983514986802,0.09111797252286641,20.328572950126155,7.186220028592884e-92,1.309519113889624e-89,2712.704454545139,3257.779160044737,2967.3491533879155,1791.599649169885,1857.6383196517104,1962.9722607763479,519.7242693524653,523.5727293296169,511.1053863095944
Nepl19,2214.376624427822,-1.3541919814786798,0.06663330967978677,-20.32304845709134,8.042384378868227e-92,1.4383953394649877e-89,897.7353765415929,915.3056328061693,866.816226353885,1695.917488069804,1617.7289297222144,1536.1976496056147,4275.0770651603225,4061.927098208628,4062.6841533821694
CG43175,858.47716041327,2.182069904862951,0.10793478119915322,20.216559302017377,6.999810865342392e-91,1.229166787954124e-88,818.1172164501213,775.612062423451,716.0655782923398,1368.8407128807514,1521.0065669838405,1546.6999331019863,375.9952125625136,308.1599492625745,295.7972117618519
CG44325,529.8783655818784,2.241586035156141,0.11465293662620892,19.551056441442505,4.040663870908577e-85,6.9687020830776845e-83,944.8563284324639,972.6425460229567,926.6731013194985,557.4950406953702,517.7491181877662,513.6571382770794,110.38391561468289,104.71454586592338,120.73355582116403
stnA,898.4336809879744,1.8945022224703514,0.09729488498774416,19.471755608827678,1.9062499090264585e-84,3.1742347623064717e-82,1064.2835685696712,916.3481221373836,1013.1330318253847,1366.8880157154435,1361.6991460029894,1284.1428456926985,364.49688801931745,389.9370231769147,324.97448775196654
